,time,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
0,2022/06/25 16:47:16.251479,-0.02,0.0,1.06,3.02,0.85,-1.18
1,2022/06/25 16:47:16.366588,-0.02,-0.0,1.06,3.11,0.64,-0.77
2,2022/06/25 16:47:16.477775,-0.02,0.0,1.07,2.98,0.96,-1.0
3,2022/06/25 16:47:16.594307,-0.02,-0.0,1.06,3.15,0.68,-1.03
4,2022/06/25 16:47:16.701188,-0.03,0.0,1.06,3.11,0.84,-1.08
5,2022/06/25 16:47:16.811864,-0.02,0.0,1.06,3.12,0.76,-1.05
6,2022/06/25 16:47:16.967075,-0.02,-0.0,1.06,3.25,0.81,-1.17
7,2022/06/25 16:47:17.177298,-0.02,0.0,1.05,3.09,0.98,-1.07
8,2022/06/25 16:47:17.375171,-0.02,-0.0,1.05,3.18,0.81,-0.82
9,2022/06/25 16:47:17.582841,-0.02,-0.0,1.06,3.19,0.92,-0.98
10,2022/06/25 16:47:17.784332,-0.02,-0.0,1.06,3.01,1.06,-0.96
11,2022/06/25 16:47:17.989919,-0.03,0.0,1.05,3.11,0.85,-1.05
